"","code_muni","abbrev_state"
"868",2510808,"PB"
"869",2112308,"MA"
"870",3525300,"SP"
"871",2606507,"PE"
"872",1504208,"PA"
"873",2513703,"PB"
"874",4303004,"RS"
"875",1503101,"PA"
"876",3554003,"SP"
"877",2506301,"PB"
"878",2609600,"PE"
"879",2307650,"CE"
"880",4210035,"SC"
"881",4216602,"SC"
"882",4207205,"SC"
"883",3530201,"SP"
"884",2406700,"RN"
"885",3552403,"SP"
"886",3168705,"MG"
"887",3515707,"SP"
"888",4217204,"SC"
"889",3106408,"MG"
"890",2613305,"PE"
"891",2206407,"PI"
"892",2203305,"PI"
"893",3522307,"SP"
"894",2312908,"CE"
"895",3522406,"SP"
"896",2102309,"MA"
"897",3151800,"MG"
"898",3114907,"MG"
"899",5211909,"GO"
"900",4115804,"PR"
"901",2100709,"MA"
"902",2601102,"PE"
"903",2208007,"PI"
"904",2414753,"RN"
"905",3512001,"SP"
"906",1721000,"TO"
"907",1718402,"TO"
"908",1707405,"TO"
"909",1702901,"TO"
"910",4101507,"PR"
"911",2613503,"PE"
"912",3543303,"SP"
"913",1400100,"RR"
"914",2110005,"MA"
"915",3537602,"SP"
"916",4307906,"RS"
"917",4304507,"RS"
"918",4302907,"RS"
"919",3304201,"RJ"
"920",3300704,"RJ"
"921",4308201,"RS"
"922",4104006,"PR"
"923",2300200,"CE"
"924",3164704,"MG"
"925",3555109,"SP"
"926",2407203,"RN"
"927",3111507,"MG"
"928",4124905,"PR"
"929",2312403,"CE"
"930",4302105,"RS"
"931",4317509,"RS"
"932",2200905,"PI"
"933",3304524,"RJ"
"934",4104303,"PR"
"935",4114203,"PR"
"936",3303708,"RJ"
"937",3113206,"MG"
"938",2802809,"SE"
"939",4108205,"PR"
"940",4120606,"PR"
"941",4320008,"RS"
"942",2301000,"CE"
"943",2400109,"RN"
"944",4310207,"RS"
"945",3305505,"RJ"
"946",4317103,"RS"
"947",3121605,"MG"
"948",5208004,"GO"
"949",2205508,"PI"
"950",3535408,"SP"
"951",2614501,"PE"
"952",4309803,"RS"
"953",4323358,"RS"
"954",4304630,"RS"
"955",3538808,"SP"
"956",4215901,"SC"
"957",3538006,"SP"
"958",2205573,"PI"
"959",3523107,"SP"
"960",1716109,"TO"
"961",3534401,"SP"
"962",4105508,"PR"
"963",1501907,"PA"
"964",3136702,"MG"
"965",4104808,"PR"
"966",4109609,"PR"
"967",3539806,"SP"
"968",4205407,"SC"
"969",3520509,"SP"
"970",2310308,"CE"
"971",4305454,"RS"
"972",4321709,"RS"
"973",3136207,"MG"
"974",2201606,"PI"
"975",2501500,"PB"
"976",2305308,"CE"
"977",2301208,"CE"
"978",4322004,"RS"
"979",4111506,"PR"
"980",3529401,"SP"
"981",4101804,"PR"
"982",3148004,"MG"
"983",3202801,"ES"
"984",2308401,"CE"
"985",1505536,"PA"
"986",2309607,"CE"
"987",3536208,"SP"
"988",3113008,"MG"
"989",4100509,"PR"
"990",3164001,"MG"
"991",3529302,"SP"
"992",4204806,"SC"
"993",2208403,"PI"
"994",3555505,"SP"
"995",2106508,"MA"
"996",3529005,"SP"
"997",3513009,"SP"
"998",2603801,"PE"
"999",4210605,"SC"
"1000",4216057,"SC"
"1001",3105608,"MG"
"1002",3170438,"MG"
"1003",5214606,"GO"
"1004",2302602,"CE"
"1005",4203204,"SC"
"1006",4109401,"PR"
"1007",4120150,"PR"
"1008",4208807,"SC"
"1009",4217709,"SC"
"1010",4215703,"SC"
"1011",3502804,"SP"
"1012",3530508,"SP"
"1013",3526704,"SP"
"1014",3152105,"MG"
