"","Code","Municipality.x","population_tcu.","hot","cold"
"264","150715","SAO DOMINGOS DO ARAGUAIA",25945,0,0
"265","150720","SAO DOMINGOS DO CAPIM",32285,0,0
"266","150730","SAO FELIX DO XINGU",135732,0,0
"267","150740","SAO FRANCISCO DO PARA",15978,0,0
"268","150745","SAO GERALDO DO ARAGUAIA",24566,0,0
"269","150746","SAO JOAO DA PONTA",6294,0,0
"270","150747","SAO JOAO DE PIRABAS",23440,0,0
"271","150750","SAO JOAO DO ARAGUAIA",14105,0,0
"272","150760","SAO MIGUEL DO GUAMA",60268,0,0
"273","150770","SAO SEBASTIAO DA BOA VISTA",27302,0,0
"274","150775","SAPUCAIA",6088,0,0
"275","150780","SENADOR JOSE PORFIRIO",11305,0,0
"276","150790","SOURE",25752,0,0
"277","150795","TAILANDIA",111554,0,0
"278","150796","TERRA ALTA",11971,0,0
"279","150797","TERRA SANTA",19063,0,0
"280","150800","TOME-ACU",64604,0,0
"281","150803","TRACUATEUA",31549,0,0
"282","150805","TRAIRAO",19344,0,0
"283","150808","TUCUMA",40661,0,0
"284","150810","TUCURUI",116605,0,0
"285","150812","ULIANOPOLIS",62286,0,0
"286","150815","URUARA",45395,0,0
"287","150820","VIGIA",54650,0,0
"288","150830","VISEU",62093,0,0
"289","150835","VITORIA DO XINGU",15421,0,0
"290","150840","XINGUARA",45416,0,0
"291","160005","SERRA DO NAVIO",5577,0,0
"292","160010","AMAPA",9265,0,0
"293","160023","FERREIRA GOMES",8151,0,0
"294","160027","LARANJAL DO JARI",52302,0,0
"295","160030","MACAPA",522357,0,0
"296","160040","MAZAGAO",22468,0,0
"297","160050","OIAPOQUE",28534,0,0
"298","160053","PORTO GRANDE",22927,0,0
"299","160055","PRACUUBA",5370,0,0
"300","160060","SANTANA",124808,0,1
"301","160070","TARTARUGALZINHO",18217,0,0
"302","160080","VITORIA DO JARI",16572,0,1
"303","170025","ABREULANDIA",2609,0,0
"304","170030","AGUIARNOPOLIS",7049,0,1
"305","170035","ALIANCA DO TOCANTINS",5303,0,0
"306","170040","ALMAS",6905,0,0
"307","170070","ALVORADA",8381,0,0
